,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
83,935899.023,133152.7858,84,0.233623987,0.002073756,Eltingville/Annadale/Prince's Bay,84,Staten Island,Latitude not found,Longitude not found
84,997512.0567,175092.4347,85,0.057475147,0.000143638,Erasmus,85,Brooklyn,50.8152348,4.267078
85,1052508.843,158898.8145,86,0.134245283,0.000623279,Far Rockaway,86,Queens,40.6053825,-73.7551326
86,982084.0663,196731.7332,87,0.03690155,6.72e-05,Financial District North,87,Manhattan,42.355838,-71.0556165
87,981114.7316,195542.0045,88,0.035204604,5.73e-05,Financial District South,88,Manhattan,42.3515458,-71.0551533
88,994603.4693,172805.876,89,0.12279457,0.000447548,Flatbush/Ditmas Park,89,Brooklyn,40.6401454,-73.9608797
89,985142.9638,209806.2307,90,0.030759162,5.53e-05,Flatiron,90,Manhattan,40.741059199999995,-73.98964162240998
90,1002974.739,167858.6797,91,0.124996625,0.00053733,Flatlands,91,Brooklyn,40.6212155,-73.9348597
91,1031218.509,217714.3724,92,0.117830067,0.000374947,Flushing,92,Queens,51.49433865,3.415005767601362
92,1028064.284,208639.2695,93,0.170998028,0.000594278,Flushing Meadows-Corona Park,93,Queens,40.74042105,-73.84275441543647
93,1011748.766,251980.7038,94,0.049832608,6.26e-05,Fordham South,94,Bronx,-34.8502629,150.0272124
94,1026320.868,202890.8968,95,0.113629605,0.00057277,Forest Hills,95,Queens,38.2153476,-85.5857931
95,1018631.609,192785.2745,96,0.185180248,0.000547566,Forest Park/Highland Park,96,Queens,43.05103405,-86.23608715607398
96,991023.0993,190887.2895,97,0.062476015,0.000163304,Fort Greene,97,Brooklyn,40.6907711,-73.9766245
97,1045345.4,206711.6061,98,0.121661018,0.000485773,Fresh Meadows,98,Queens,40.7348246,-73.7934668
98,932109.6899,150502.7459,99,0.183371489,0.001210165,Freshkills Park,99,Staten Island,40.5791894,-74.17992554500483
99,987356.9609,213802.3827,100,0.024813109,3.75e-05,Garment District,100,Manhattan,40.7536941,-73.9905167
100,1064866.095,210368.4031,101,0.101709836,0.000452343,Glen Oaks,101,Queens,34.4430807,-112.5485052
101,1016968.165,195303.5468,102,0.136900485,0.000296595,Glendale,102,Queens,34.1469416,-118.2478471
102,971720.1576,190614.4772,103,0.014305517,6.33e-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,Latitude not found,Longitude not found
103,973399.5438,193824.4004,104,0.021220833,1.19e-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan,Latitude not found,Longitude not found
